,Rank,Movie Title,Gross,Release,Distributor
0,1,Wolf Warrior 2,"$854,248,869.00",7/27,
1,2,The Wandering Earth,"$690,994,017.00",2/5,BC
2,3,Avengers: Endgame,"$614,316,021.00",4/24,
3,4,Operation Red Sea,"$575,849,199.00",2/16,
4,5,Detective Chinatown 2,"$541,406,438.00",2/16,
5,6,The Mermaid (2016),"$526,848,189.00",2/8,
6,7,Dying To Survive,"$451,176,639.00",7/5,
7,8,The Fate of the Furious,"$392,807,017.00",4/14,UPI
8,9,Furious 7,"$390,910,000.00",4/12,China Film
9,10,Monster Hunt,"$381,860,000.00",7/16,China Film
10,11,Hello Mr. Billionaire,"$366,961,907.00",7/27,
11,12,Avengers: Infinity War,"$359,543,153.00",5/11,Disney
12,13,Monster Hunt 2,"$356,336,096.00",2/16,
13,14,Never Say Die,"$333,937,573.00",9/30,
14,15,Crazy Alien,"$327,598,891.00",2/5,
15,16,Transformers: Age of Extinction,"$320,000,000.00",6/27,HuaXia
16,17,The Ex-File: The Return of the Exes,"$306,449,457.00",12/29,
17,18,Aquaman,"$298,333,496.00",12/7,WB
18,19,Venom (2018),"$272,243,405.00",11/9,
19,20,Jurassic World: Fallen Kingdom,"$261,224,207.00",6/15,
20,21,Mojin: The Lost Legend,"$255,747,040.00",12/17,
21,22,Pegasus,"$255,510,705.00",2/5,
22,23,Kung Fu Yoga,"$254,531,595.00",1/28,
23,24,Avengers: Age of Ultron,"$240,110,000.00",5/11,
24,25,Journey to the West: The Demons Strike Back,"$239,553,888.00",1/28,
25,26,Zootopia,"$235,591,257.00",3/4,
26,27,Lost in Hong Kong,"$234,431,227.00",9/25,
27,28,Transformers: The Last Knight,"$228,842,508.00",6/23,PPI
28,29,Jurassic World,"$228,740,000.00",6/10,
29,30,Goodbye Mr. Loser,"$226,161,196.00",9/25,
30,31,Youth (2017),"$224,558,496.00",12/15,
31,32,Ready Player One,"$218,471,784.00",3/30,WB
32,33,Warcraft,"$213,541,452.00",6/8,HuaXia
33,34,Us and Them,"$209,221,331.00",4/28,
34,35,The Island (2018),"$197,276,235.00",8/10,
35,36,Journey to the West: Conquering the Demons,"$196,740,000.00",2/10,
36,37,Dangal,"$193,050,870.00",5/5,
37,38,Coco,"$189,226,296.00",11/24,Disney
38,39,Breakup Buddies,"$187,970,000.00",9/30,
39,40,Jian Bing Man,"$186,350,000.00",7/17,HuaXia
40,41,The Monkey King 2 in 3D,"$185,402,420.00",2/8,
41,42,Project Gutenberg,"$183,354,997.00",9/30,
42,43,Mission: Impossible - Fallout,"$181,184,137.00",8/31,
43,44,Captain America: Civil War,"$180,794,517.00",5/6,Disney
44,45,Operation MeKong,"$172,477,764.00",9/30,
45,46,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,277,290.00",5/26,Disney
46,47,From Vegas to Macau 3 (Du cheng feng yun III),"$172,104,369.00",2/8,
47,48,The Great Wall,"$170,962,106.00",12/16,
48,49,Bumblebee,"$170,846,880.00",1/4,
49,50,Kong: Skull Island,"$168,188,002.00",3/24,
50,51,The Monkey King,"$167,840,000.00",1/31,
51,52,xXx: The Return of Xander Cage,"$164,066,583.00",2/10,PPI
52,53,Resident Evil: The Final Chapter,"$159,548,686.00",2/24,Sony
53,54,Despicable Me 3,"$158,171,566.00",7/7,UPI
54,55,Rampage (2018),"$156,381,897.00",4/13,WB
55,56,Kung Fu Panda 3,"$154,304,371.00",1/29,
56,57,The Man from Macau II,"$154,130,000.00",2/19,Bona Light
57,58,Captain Marvel,"$154,070,663.00",3/8,Disney
